Category / Item,Serial,Calibration Date,Calibration Duration,Calibration Expiry,Who
COATING EQUIPMENT,,,,,
POSITECTOR FNS PROBE 6000,240370,12-Nov-25,,12-Nov-26,
POSITEST ADHESION TESTER,AT08001,26-Mar-25,,13-Mar-26,Jeff Notified - Fa...
INFRARED THERMOMETER MTP 1324RH,190205444,12-Nov-25,,12-Nov-26,
POSITECTOR FNTS PROBE 6000,1108463,25-Nov-25,,25-Nov-26,
MITUTOYO TESTEX DIAL THICKNESS GAUGE,SED602,25-Nov-25,,25-Nov-26,
MITUTOYO TESTEX DIAL THICKNESS GAUGE,SED593,12-Nov-25,,12-Nov-26,
FLUKE RMS CLAMP METER - 325,60880714MV,10-Oct-24,,11-Oct-25,Jeff Notified
MTP 1324RH INFRARED THERMOMETER WITH RH/AR TEMP/DEW POINT,130707638,16-Jun-25,,16-Jun-26,
MTP 1324RH INFRARED THERMOMETER WITH RH/AR TEMP/DEW POINT,130707612,16-Jun-25,,16-Jun-26,Jeff Notified - Fc...
Reed-CM-8822,N879525,,In-Active,,
UT FLAW DETECTOR AND UT THICKNESS EQUIPMENT,,,,,
GE DM5E ULTRASONIC THICKNESS GAUGE,DM5EB0911023,02-Apr-26,,02-Apr-27,
GE USM GO ULTRASONIC FLAW DETECTOR/THICKNESS GAUGE,USMGO12105418,23-Jul-25,,23-Jul-26,
GE USM GO+,GOPLS19070196,28-Apr-25,,28-Apr-26,Jeff Notified - Fc...
OLYMPUS EPOCH 650,170369403,24-Apr-26,,24-Apr-27,
SONATEST WAVE,I021387,02-Apr-26,,02-Apr-27,
OLYMPUS EPOCH 650,201078605,26-Aug-25,,26-Aug-26,
XRF TESTING EQUIPMENT,,,,,
RADIATION ALERT MONITOR - 4EC,38888,07-Nov-25,,07-Nov-26,
X200 - SciAps,31607,06-Jun-24,Does not require annual calibration,,
HARDNESS TESTING EQUIPMENT,,,,,
SINOWON-SU-410D,KG8821516386,07-Jul-25,,07-Jul-26,
Barcol Impressor GYZJ-934-1 Hardness Tester,STI25042801,18-Dec-25,,18-Dec-26,
RADIOGRAPHY EQUIPMENT,,,,,
SE International Monitor 4,38888,7-Nov-25,,7-Nov-26,
Canadian Admiral CCD 100-10A,A4736,7-Nov-25,,7-Nov-26,
Canadian Admiral CCD 100-10,3001,7-Nov-25,,7-Nov-26,
Quality NDE PAD,30435,7-Nov-25,,7-Nov-26,
