Type,Make,Model,Serial #,# of Units (each),Notes,Assigned To
Cal Block,IIW ASTM E164,IIW ASTM E164,A12095,1,,SN
Cal Block,IIW,MINI IIW STEEL,14-4740,1,,SN
Cal Block,DSC,DSC TEST BLOCK,06-1001,1,,SN
Cal Block,NA,1018 STEEL,59323,1,Stepblock,SN
Cal Block,0,DSC Block,15-4529,1,,DC
Cal Block,0,Step Wedge CS,10-1581,1,,DC
Cal Block,0,Step Wedge SS,55243,1,,DC
Cal Block,,,13-1579,1,,BS
Cal Block,DSC,,,1,,BS
Cal Block,ASME DAC Block,,4139 23,1,,BS
Cal Block,Step Block,,14-2522,1,,BS
Cal Block,Step Block SS,,0049-17,1,,BS
Cal Block,Step Block AL,,22-1912,1,,BS
Cal Block,10 Step,,19-1242,1,Metric,BP
Cal Block,DSC,,15-1003,1,Metric,BP
Cal Block,Mini IIW,,18-3073,1,Metric,BP
Cal Block,10LB Cal blocks Western Instruments,W-PT,1405-1409,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,2152-21527,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,21518,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,21519,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,21520,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,21521,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,21522,,,
Cal Block,10LB Cal blocks Parker Research,TB-10,10920,,,
Coatings,DFT,Delfasko 6000,764478,1,Thickness Gauge,BP
Coatings,Elcometer,Dial Micrometre,SED593,1,,BP
Coatings,,Infrared Thermometre,130707612,1,,BP
Coatings,Tinker & Rasor,M1 Holiday Tester,,3,,
Coatings,Delfasko,DFT Gauge,,3,,
Coatings,Holiday detector -High voltage,,,1,,
Coatings,Adhesion tester posi test AT-M,,,1,,
Coatings,Handheld portable tester,,,1,,
Coatings,Environmental meters,,,3,,
Flaw Detector,USM-GO,,GOPLS19070196,1,,SN
Flaw Detector,GE,USMGO,USMGO12105418,1,,DC
Flaw Detector,Olympus,Epoch 650,170369403,1,,BS
Flaw Detector,Sonotest Wave,,I021387,1,,BP
HSE,,Harness,,1,,MS
HSE,,Lanyard,,2,,MS
HSE,Kosto,CDK005,BO22071166,1,,SN
HSE,SALA,1102000C,4035017AAFC0E,1,,SN
HSE,Sala,Full Body Harness,SN8561456,1,,DC
HSE,,6' Lanyard,,1,,DC
HSE,3M,Harness,20060907,1,,BS
HSE,,Double Lanyard,,1,,BS
HSE,,Single Retractable,,1,,BS
HSE,,Double Retractable,,1,,BS
HSE,MSA,actable Double Lanyard,,1,,BP
HSE,MSA,Harness,10196642,1,,CS
HSE,MSA,Lanyard,63011-24-4,1,,CS
Probe,FH2E-D,,14K009WT,1,,SN
Probe,YUSHI TC510,,72118,1,,SN
Probe,P2.25-13MD,,12400028R,1,,SN
Probe,U11FIL,,SNI00-011090,1,,SN
Probe,GAMMA,,S000060,1,,SN
Probe,Benchmark,,14G00LUL,1,,SN
